Name	Set 	ImageFile	Type	Color	Sub Types	Cost	CMC	Power	Toughness	Rarity	Trim	Text
EMP Blast	STW	EMPBlast.png	Instant	W		2W	3			C	EMPBlast	Exile target artifact. Tap any number of other target artifacts.
Escape Pod	STW	EscapePod.png	Instant	W		W	1			C	EscapePod	Exile target creature you control. Return that card to the battlefield under its owners control at the beginning of the next end step.
Ewok Firedancers	STW	EwokFiredancers.png	Creature	G	Ewok, Shaman	3G	4	3	3	C	EwokFiredancers	Trample, 1R: Ewok Firedancers gets +1/+0 until end of turn.
Explore	STW	Explore.png	Sorcery	G		1G	2			C	Explore	You may play an additional land this turn. Draw a card.
Force Adept	STW	ForceAdept.png	Creature	G/W/U	Mirialan, Jedi	GWB	3	3	3	C	ForceAdept	Flash, When Force Adept enters the battlefield, return another target creature you control and target creature you don't control to their owners' hands.
Force Choke	STW	ForceChoke.png	Instant	B		3B	4			C	ForceChoke	Target creature gets -4/-4 until end of turn. Scry 1.
Force Denial	STW	ForceDenial.png	Instant	U		1U	2			C	ForceDenial	Counter target spell unless its controller pays 1. Hate - If an opponent lost life from a source other than combat this turn, counter that spell instead.
Force Drain	STW	ForceDrain.png	Sorcery	B		2B	3			C	ForceDrain	Force Drain deals 2 damage to target creature or player and you gain 2 life. Scry 2.
Force Healing	STW	ForceHealing.png	Instant	W		W	1			C	ForceHealing	Prevent the next 4 damage that would be dealt to target creature or player this turn. Scry 1.
Force Meditation	STW	ForceMeditation.png	Sorcery	U		2U	3			C	ForceMeditation	Draw three cards, then put a card from your hand on top of your library.
Force Pull	STW	ForcePull.png	Instant	G		2G	3			C	ForcePull	Destroy target creature with flying or spaceflight. Scry 2.
Force Push	STW	ForcePush.png	Instant	U		3U	4			C	ForcePush	Put target creature on top of its owner's library, Scry 1.
Force Spark	STW	ForceSpark.png	Instant	R		R	1			C	ForceSpark	Choose one - -Force Spark deals 1 damage to target player. Draw a card. -Force Spark deals 1 damage to target creature. Scry 1.
Gifted Initiate	STW	GiftedInitiate.png	Creature	W	Human, Jedi	1W	2	2	1	C	GiftedInitiate	When Gifted Initiate enters the battlefield, you may tap target creature. Meditate - 1W
Gungan Captain	STW	GunganCaptain.png	Creature	U	Gungan, Warrior	2U	3	1	4	C	GunganCaptain	Whenever Gungan Captain deals damage to a creature, tap that creature. That creature doesn't untap durring its controller's next untap step.
Head Hunting	STW	HeadHunting.png	Instant	B		1B	2			C	HeadHunting	Put a bounty counter on target creature an opponent controls. Draw a card.
Heavy Trooper	STW	HeavyTrooper.png	Creature	B		2B	3			C	HeavyTrooper	Trooper creatures you control get +0/+1.
HungryDragonsnake	STW	HungryDragonsnake.png	Creature	G	Snake, Beast 	4GG	6	4	4	C	HungryDragonsnake	Trample, Whenever a creature enters the battlefield under an opponent's control, put a +1/+1 counter on Hungry Dragonsnake.
Imperial Agent	STW	ImperialAgent.png	Creature	R	Chiss, Rogue	1R	2	2	1	C	ImperialAgent	B: Imperial Agent gains menace until end of turn.
Imperial Gunner	STW	ImperialGunner.png	Creature	R	Human Soldier	R	1	1	2	C	ImperialGunner	1,T: Imperial Gunner deals 1 damage to target player or starship.
Insatiable Rakghoul	STW	InsatiableRakghoul.png	Creature	B	Zombie, Mutant	5B	6	5	6	C	InsatiableRakghoul	Insatiable Rakghoul enters the battlefield with a +1/+1 counter on it if a non-artifact creature died this turn.
Interrogation	STW	Interrogation.png	Sorcery	B		1B	2			C	Interrogation	Target player discards a card. Then that player discards another card unless he or she pays 3 life.
Ion Cannon	STW	IonCannon.png	Artifact, Creature	W	Construct	3W	4	4	4	C	IonCannon	Defender, Reach. Ion Cannon can block creatures with Spaceflight.
Irresponsible Gambling	STW	IrresponsibleGambling.png	Instant	R		R	1			C	IrresponsibleGambling	As an additional cost to cast Irresponsible Gambling, discard a card at random. Draw 2 cards.
Ithorian Initiate	STW	IthorianInitiate.png	Creature	G	Ithorian, Jedi	2G	3	2	2	C	IthorianInitiate	When Ithorian Initiate enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. if you do, shuffle your library. Meditate 1G.
Jar'Kai Battle Stance	STW	Jar'KaiBattleStance.png	Instant	R		1R	2			C	Jar'KaiBattleStance	Target creature gains double strike until end of turn. If that creature is a Jedi or Sith, it also gains trample until end of turn.
Jedi Holocron	STW	JediHolocron.png	Artifact	C		2	2			C	JediHolocron	W, T: Add GB to your mana pool. U, T: Add GW to your mana pool. G, T: Add WU to your mana pool.
Jedi Instructor	STW	JediInstructor.png	Creature	W	Twi'lek, Jedi	4W	5	4	4	C	JediInstructor	When jedi Instructor enters the battlefield, you may put a +1/+1 counter on another target creature. Meditate - 1W.
Jedi Reflex	STW	JediReflex.png	Instant	W		1W	2			C	JediReflex	Untap target creature. It gets +1/+0 and gains first strike until end of turn. Scry 1.
Lightsaber	STW	Lightsaber.png	Artifact	C	Equipment	1	1			C	Lightsaber	Equipped creature gets +1/+0 and has first strike. Equip 3. Lightsaber's equip ability costs 1 if it targets a Jedi or Sith.
Loyal Tauntaun	STW	LoyalTauntaun.png	Creature	W	Beast 	2W	3	2	3	C	LoyalTauntaun	1G, Sacrifice Loyal Tauntaun: Regenerate target creature.
Mantellian Savrip	STW	MantellianSavrip.png	Creature	G	Beast 	3GG	5	4	4	C	MantellianSavrip	5GG: Monstrosity 3. Creatures with power less than Mantellian Savrip's power can't block it.
Massiff Swarm	STW	MassiffSwarm.png	Creature	G	Crocodile, Beast	3G	4	4	3	C	MassiffSwarm	6G: Monstrosity 3. As long as Massiff Swarm is monstrous, it has menace.
Mon Calamari Initiate	STW	MonCalamariInitiate.png	Creature	U	Calamari, Jedi	3U	4	3	1	C	MonCalamariInitiate	When Mon Calamari Initiate enters the battlefield, draw a card. Meditate 1U. 
N-1 Starfighter	STW	N-1Starfighter.png	Artifact, Creature	W/U	Starship	3, U/W	4	2	2	C	N-1Starfighter	Spaceflight. Whenever N-1 Starfighter Deals combat damage to a player, you may exile target creature you control, then return that card to the battlefield under its owner's control.
Nerf Herder	STW	NerfHerder.png	Creature	G	Human	2G	3	2	3	C	NerfHerder	Monstrosity costs you pay cost 1 less. Each creature you control with a +1/+1 country on it has trample.
No Contest	STW	NoContest.png	Instant	G		G	1			C	NoContest	Target creature you control fights target creature with power less than its power.
Novice Bounty Hunter	STW	NoviceBountyHunter.png	Creature	R	Human, Hunter	1R	2	2	1	C	NoviceBountyHunter	When Novice Bounty Hunter enters the battlefield, put a bounty counter on target creature an opponent controls. Bounty - Whenever a creature an opponent controls with a bounty counter on it dies, Novice Bounty Hunter Deals 2 damage to that player.
Ortolan Keyboardist	STW	OrtolanKeyboardist.png	Creature	U	Ortolan	1U	2	1	1	C	OrtolanKeyboardist	T: draw a card, then discard a card.
Outer Rim Slaver	STW	OuterRimSlaver.png	Creature	BRG	Trandoshan Hunter	BGR	3	3	3	C	OuterRimSlaver	When Outer Rim Slaver enters the battlefield, you may have another target creature you control fights target creature an opponent controls.
Outlaw Holocron	STW	OutlawHolocron.png	Artifact	C		2	2			C	OutlawHolocron	B, T: Add RG to your mana pool. R, T: Add BG to your mana pool. G, T: Add BR to your mana pool.
Personal Energy Shield	STW	PersonalEnergyShield.png	instant	U 		U	1			C	PersonalEnergyShield	Counter target spell that targets you or a permanent you control.
Predator's Strike	STW	Predator'sStrike.png	instant	G		1G	2			C	Predator'sStrike	Target creature gets +3/+3 and gains trample until end of turn.
Preordain	STW	Preordain.png	Sorcery	U		U	1			C	Preordain	Scry 2, then draw a card.
Probe Droid	STW	ProbeDroid.png	Artifact, Creature	U		3U	4	3	3	C	ProbeDroid	1W: Probe Droid gains flying until end of turn. Repair 3.
Raging Reek	STW	RagingReek.png	Creature	R		4R	5	5	4	C	RagingReek	Raging Reek attacks each turn if able. 4RR: Monstrosity 2.
Rallying Fire	STW	RallyingFire.png	Instant	R		2R	3			C	RallyingFire	Creatures you control get +2/+0 until end of turn.
Regression	STW	Regression.png	Instant	G		1G	2			C	Regression	Choose target artifact or enchantment. Its owner shuffles it into his or her library.
Repurpose	STW	Repurpose.png	Sorcery	B		3BB	5			C	Repurpose	Destroy target creature . Return up to one target creature card from your graveyard to your hand.
Revenge	STW	Revenge.png	Instant	R		1R	2			C	Revenge	Target creature you control fights another target creature. The creature you control gets  +4/+0 until end of turn before it fights if a creature you control died this turn.
Salvage Squad	STW	SalvageSquad.png	Creature	WUB		WUB	3	2	2	C	SalvageSquad	When Salavage Squad enters the battlefield you may sacrifice an artifact. if you do, draw two cards .
Scout the Perimeter	STW	ScoutthePerimeter.png	Sorcery	G		2G	3			C	ScoutthePerimeter	Search your library for a land card, put it into the battlefield tapped, then shuffle your library. Put a bounty counter on up to one target creature an opponent controls.
Scout Trooper	STW	ScoutTrooper.png	Creature	G	Human, Trooper	1G	2	1	1	C	ScoutTrooper	Trooper creature you control get +1/+1.
Security Droid	STW	SecurityDroid.png	Artifact, Creature	W	Droid	1W	2	1	1	C	SecurityDroid	When Security Droid enters the battlefield, put a 1/1 colorless Battle Droid artifact creature token onto the battle field Repair 3.
Separatist Holocron	STW	SeparatistHolocron.png	Artifact	C		2	2			C	SeparatistHolocron	W, T: Add UB to your mana pool. U, T: WB to your mana pool. B, T: Add WU to your mana poool.
Shadow Trooper	STW	ShadowTrooper.png	Creature	U	Human, Trooper	2U	3	2	2	C	ShadowTrooper	Flash, You may cast Trrooper creature cards as though they had flash.
Sith Holocron	STW	SithHolocron.png	Artifact	C		2	2			C	SithHolocron	U, T: Add BR to your mana pool. B, T: Add UR to your mana pool. R, T: Add UB to your mana pool.
Sith Inquisitor	STW	SithInquisitor.png	Creature	B	Human, Sith	3B	4	3	4	C	SithInquisitor	Hate - When Sith Inquisitor enters the battlefield, if an opponent lost life from a source other than combat damage this turn, target player discards a card at random.
Sith Ravager	STW	SithRavager.png	Creature	R	Human, Sith	3R	4	4	3	C	SithRavager	Hate - When Sith Ravager enters the battlefield, if an opponent lost life from a sorce other than combat damage this turn, Sith Ravager gains haste and trample until end of turn.
Sith Sorcerer	STW	SithSorcerer.png	Creature	U	Human, Sith	2U 	3	2	3	C	SithSorcerer	When Sith Sorcerer enters the battle field Scry 2. Hate - When Sit Sorcerer enters the battlefield, if an opponent lost life from a source other than combat damage this turn, draw a card.
Sith Thoughtseeker	STW	SithThoughtseeker.png	Creature	B	Human, Sith	1B	2	2	1	C	SithThoughtseeker	Hate - 2U: Draw a card. Activate this ability only if an opponent lost life this turn from a source other than combat damage this turn.
Smash to Smithereens	STW	SmashtoSmithereens.png	Instant	R		1R	2			C	SmashtoSmithereens	Destroy target artifact. Smash to Smithereens deals 3 damage to that artifact's controller.
Speeder Trooper	STW	SpeederTrooper.png	Creature	R	Human, Trooper	2R	3	2	2	C	SpeederTrooper	Trooper creatures your control have haste.
Strike Team Commando	STW	StrikeTeamCommando.png	Creature	G/W	Human, Rebel	3, G/W	4	3	3	C	StrikeTeamCommando	When Strike Team Commando enters the battlefield, you may destroy target artifact or enchantment.
Super Battle Droid	STW	SuperBattleDroid.png	Artifact, Creature	U	Droid	5U	6	4	5	C	SuperBattleDroid	Repair 2 
Swarm the Skies	STW	SwarmtheSkies.png	Sorcery	B		2B	3			C	SwarmtheSkies	Put two 1/1 black Starship artifact creature tokens with spaceflight named TIE Fighter onto the battlefield.
TIE Interceptor	STW	TIEInterceptor.png	Artifact, Creature	B	Starship	2B	3	1	1	C	TIEInterceptor	Spaceflight. Whenever TIE Interceptor attacks, each opponent loses 2 life.
Treacherous Bounty Hunter	STW	TreacherousBountyHunter.png	Creature	B	Rodian Hunter	B	1	3	3	C	TreacherousBountyHunter	When Treacherous Bounty Hunter enters the battlefield, sacrifice a creature unless an opponent controls a creature with a bounty counter on it.
Trooper Armor	STW	TrooperArmor.png	Artifact	C	Equipment	2	2			C	TrooperArmor	Equipped creature gets  +2/+2 and is a Trooper in addition to its other types. Equip 3
Twilek Seductress	STW	TwilekSeductress.png	Creature	G	Twi'lek	1G	2	2	2	C	TwilekSeductress	When Twi'lek Seductress attacks, you may have target creature defending player controls untap and block if able.
Unstable Bomber	STW	UnstableBomber.png	Creature	R	Twi'lek Warrior	3R	4	3	2	C	UnstableBomber	Haste, when unstable bomber dies, it deals 3 damage to each player.
Vapor Snag	STW	VaporSnag.png	Instant	U		U	1			C	VaporSnag	Return target creature to its owner's hand. Its controller loses 1 life.
Venomous Kouhun	STW	VenomousKouhun.png	Creature	B	Insect	B	1	1	1	C	VenomousKouhun	Deathtouch
Wild Holocron	STW	WildHolocron.png	Artifact	C		2	2			C	WildHolocron	W, T: Add RG to your mana pool. R, T: Add GW to your mana pool. G, T: Add RW to your mana pool.
Womp Rat	STW	WompRat.png	Creature	W	Rat, Beast	3W	4	3	4	C	WompRat	5W: Monstrosity 2, When Womp Rat becoms monstrous you gain 2 life.
Wookiee Bounty Hunter	STW	WookieeBountyHunter.png	Creature	G	Wookiee, Hunter	4G	5	4	5	C	WookieeBountyHunter	When Wookiee Bounty Hunter enters the battlefield, put a bounty counter on target creature an opponent controls. Bounty - Whenever a creature an opponent controls with a bounty counter on it dies, you gain 3 life.
Wookiee Mystic	STW	WookieeMystic.png	Creature	R/G/W	Wookiee, Shaman	RGW	3	2	2	 C	WookieeMystic	T: Add R,G, or W to your mana pool. If that mana is spent on a creature spell, it enters the battlefield with an additional +1/+1 counter on it.
Wookiee Raidleader	STW	WookieeRaidleader.png	Creature	R/G	Wookiee, Warrior	3, R/G, R/G	5	5	4	C	WookieeRaidleader	Whenever Wookiee Raidleader attacks, another target creature gains trample until end of turn.
X-Wing	STW	X-Wing.png	Artifact, Creature	W	Starship	2W	3	2	2	C	X-Wing	Spaceflight
Y-Wing	STW	Y-Wing.png	Artifact, Creature	U	Starship	3U	4	1	4	C	Y-Wing	Spaceflight, Whenver Y-Wing deals combat damage to a player, target creature an opponent controls does't untap durring its controller's next untap step
Acklay of the Arena	STW	AcklayoftheArena.png	Creature	RGW	Insect	1RGW	4	5	4	U	AcklayoftheArena	3RGW: Monstrosity 1. Whenever a creature you control becomes monstrous, it fights target creature an opponent controls.
Admiral Ackbar	STW	AdmiralAckbar.png	Legendary, Creature	U	Calamari, Rebel	4UU	6	4	4	R	AdmiralAckbar	Non-flying creaturs you control have spaceflight and are Starships in addition to their other types. Whenever two or more Starships you control attack, draw a card.
Anakin Skywalker-Darth Vader	STW	AnakinSkywalker-DarthVader.png	Legendary, Creature	UBR	Human, Sith	3UBR	6	4	4	M	AnakinSkywalker-DarthVader	(Anakin Skywalker) Whenever another creature dies, put a +1/+1 counter on Anakin Skywalker.  Sacifice another creature: Target creature gets -1/-1 until end of turn.  Activate this ability only as a sorcery.  If Anakin Skywalker would die, regenerate and transform him instead.  (Darth Vader) Menace, Lifelink.  Whenever Darth Vader attacks, creatures defending player controls get -1/-1 until end of turn for each +1/+1 counter on Darth Vader.
Ancient Holocron	STW	AncientHolocron.png	Artifact	C		3	3			U	AncientHolocron	T: Add one mana of any color to your mana pool. If you cast a spell this turn, add two mana in any combination of colors instead.
Asajj Ventress	STW	AsajjVentress.png	Legendary, Creature	UBR	Dathomirian, Sith	1UBR	4	3	2	R	AsajjVentress	Double Strike, When Asajj Ventress becomes blocked, she gets +1/+1 for each creature blocking her until end of turn.  Hate -- Whenever Asajj Ventress attacks, if an opponent lost life from a source other than combat damage this turn, target creature blocks this turn if able.
AT-AT - Token	STW	AT-AT-Token.png	TOKEN	C			4	4		T	AT-AT-Token	When this creature dies, put three 1/1 white Trooper creature tokens onto the battlefield.
ATST	STW	ATST.png	Artifact, Creature	G	Trooper	5G	6	3	3	R	ATST	Trooper creatures you control get +3/+3.
Bantha Herd	STW	BanthaHerd.png	Creature	W	Bantha	1WW	3	2	2	R	BanthaHerd	XWW: Monstrosity X, when Bantha Herd becomes monstrous, put X 1/1 white Tusken Raider tokens onto the battlefield.
Battle Droid - Token	STW	BattleDroid-Token.png	TOKEN	C	Droid			1	1	T	BattleDroid-Token	
Beast Riders of Onderon	STW	BeastRidersofOnderon.png	Creature	RGW	Human, Worrior	RGW	3	3	2	R	BeastRidersofOnderon	Flying, At the end of your turn, monstrous creatures you control are no longer monstrous. (They can activate Monstrosity again.)
Bib Fortuna	STW	BibFortuna.png	Legendary, Creature	B	Twi'lek, Advisor	1B	2	2	2	R	BibFortuna	When Bib Fortuna enters the battlefield, search your library for a card, then shuffle your library and put that card on top of it.  You lose 2 life.  When Bib Fortuna dies, shuffle your library.
Black Market Dealer	STW	BlackMarketDealer.png	Creature	B	Human, Rogue	3B	4	3	2	U	BlackMarketDealer	Whenever a creature you control dies, put a bounty counter on target creature an opponent controls.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, draw a card.
Blind Worship	STW	BlindWorship.png	Enchantment	RGW	Aura	2RGW	5			R	BlindWorship	Enchant creature, Enchanted creature has "Whenever this creature attacks, each other creature you control gets +X/+X until end of turn, where X is this creature's power."
Boba Fett	STW	BobaFett.png	Legendary, Creature	BRG	Human, Hunter	2BRG	5	4	4	M	BobaFett	Flying, Haste, When Boba Fett enters the battlefield, put a bounty counter on target creature an opponent controls.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, untap all creatures you control.  If it's your turn, after this phase, there is an additional combat phase followed by an additional main phase.
Bombing Run	STW	BombingRun.png	Sorcery	W		3WW	5			R	BombingRun	Destroy all non-Starship creatures.
Bossk	STW	Bossk.png	Legendary, Creature	G	Trandoshan, Hunter	1GG	3	3	3	R	Bossk	Whenever a land enters the battlefield under your control, if you control five or more lands, put a bounty counter on target creature an opponent controls.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, you may search your library for a basic land and put that card onto the battlefield tapped.  Then shuffle your library.
Bounty Collector	STW	BountyCollector.png	Creature	G	Quarren, Hunter	1G	2	2	1	U	BountyCollector	T: Untap target land.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, untap Bounty Collector.
Bounty Sniper	STW	BountySniper.png	Creature	R	Gand, Hunter	2R	3	1	3	U	BountySniper	T: Bounty Sniper deals 1 damage to target creature.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, untap Bounty Sniper.
Bounty Spotter	STW	BountySpotter.png	Creature	B	Zabrak, Hunter	1B	2	2	2	U	BountySpotter	Bounty Spotter doesn't untap during your untap step.  T: Put a bounty counter on target creature an opponent controls.  Bounty -- Whenever a creature an opponent controls with a bounty counter on it dies, untap Bounty Spotter.
Bowcaster	STW	Bowcaster.png	Artifact	C	Equipment	2	2			U	Bowcaster	Equipped creature has "2, T: This creature deals 2 damage to target creature or player.  If equipped creature is a Wookiee, deal 3 damage instead."  Equip 2
Bright Tree Village	STW	BrightTreeVillage.png	Land	C						U	BrightTreeVillage	Bright Tree Village enters the battlefield tapped.  When Bright Tree Village enters the battlefield, add G to your mana pool.  T: Add R or W to your mana pool.
Bull Rancor	STW	BullRancor.png	Creature	G	Rancor	5GG	7	7	7	R	BullRancor	Trample, 5GG: Monstrosity 3, As long as Bull Rancor is monstrous, creatures you control have menace.
C-3P0 and R2-D2	STW	C-3P0andR2-D2.png	Legendary, Artifact, Creature	UW	Droid	2WU	4	2	2	R	C-3P0andR2-D2	When C-3PO and R2D2 leaves the battlefield, gain 4 life and draw a card.  Repair 2
Carbonite Chamber	STW	CarboniteChamber.png	Enchantment	UW	Aura	1WU	3			U	CarboniteChamber	Enchant creature, You control enchanted creature.  Enchanted creature can't attack or block.
Chewbacca	STW	Chewbacca.png	Legendary, Creature	RGW	Wookiee, Rebel	2RWG	5	4	5	R	Chewbacca	Vigilance, Whenever Chewbacca attacks or blocks, another target creature you control gets +X/+X until end of turn, where X is Chewbacca's power.
Chief Chirpa	STW	ChiefChirpa.png	Legendary, Creature	RGW	Ewok, Worrior	RGW	3	3	3	R	ChiefChirpa	Whenever an Ewok you control dies, you may put a +1/+1 counter on target Ewok.  2RGW: Monstrosity 2, When Chief Chirpa becomes monstrous, put three 1/1 green Ewok creature tokens onto the battlefield.
Commander Cody	STW	CommanderCody.png	Legendary, Creature	WUBRG	Human, Trooper	WUBRG	5	7	7	R	CommanderCody	Non-token Troopers you control have "At the beginning of your endstep, put a 1/1 white Trooper creature token onto the battlefield."
Condemn	STW	Condemn.png	Instant	W		W	1			U	Condemn	Put target attacking creature on the bottom of its owner's library.  Its controller gains life equal to its toughness.
Count Dooku	STW	CountDooku.png	Planeswalker	WUB	Dooku	1WUB	4		3	M	CountDooku	(+1): Up to one target creature's power becomes 0 until your next turn.  (-3): Sacrifice an artifact.  If you do, put X 1/1 colorless Battle Droid artifact creature tokens onto the battlefield, where X is that artifact's converted mana cost.  (-6): Target player's life total becomes 5.  Another target player's life total becomes 30.
Cruel Ultimatum	STW	CruelUltimatum.png	Sorcery	UBR		UUBBBRR	7			R	CruelUltimatum	Target opponent sacrifices a creature, discards three cards, then loses 5 life.  You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life.
Cruelty of the Sith	STW	CrueltyoftheSith.png	Instant	UBR		UBR	3			U	CrueltyoftheSith	Choose one -- -Target player sacrifices a creature.  -Counter target noncreature spell  -Cruelty of the Sith deals 3 damage to target player. That player discards a card.
Cunning Abduction	STW	CunningAbduction.png	Sorcery	UB		1UB	3			R	CunningAbduction	Target player reveals his or her hand.  You choose a nonland card from it and exile that card.  You may cast that card and may spend mana as though it were mana of any color to cast it.
Dark Apprenticeship	STW	DarkApprenticeship.png	Enchantment	R		1R	2			U	DarkApprenticeship	Hate -- At the beginning of each end step, if an opponent lost life from a source other than combat damage this turn, Dark Apprenticeship deals 2 damage to each opponent.
Dark Decision	STW	DarkDecision.png	Sorcery	BR		BR	2			U	DarkDecision	Search your library for a card and exile it.  Until end of turn you may play that card.  Shuffle your library.
Dark Trooper	STW	DarkTrooper.png	Creature	U		2U	3	2	2	U	DarkTrooper	Trooper creatures you control have flying.
Darth Maul	STW	DarthMaul.png	Legendary, Creature	RB		1RB	3	2	2	R	DarthMaul	Double Strike, Haste,  Hate -- Whenever Darth Maul attacks, if an opponent lost life from a source other than combat damage this turn, target creature can't block this turn.
Darth Sidious, Sith Lord	STW	DarthSidiousSithLord.png	Planeswalker	BRU	Sidious	4UBR	7		6	M	DarthSidious,SithLord	(+1): You get an emblem with "At the beginning of your upkeep, you may draw a card.  If you do, discard a card."  (-2): You get an emblem with "At the beginning of your upkeep, deal 1 damage to target creature or player."  (-9): Target opponent gets an emblem with "Whenever you cast a spell, lose life equal to its converted mana cost."
Death Trooper	STW	DeathTrooper.png	Creature	B	Zombie, Trooper	1B	2	1	1	U	DeathTrooper	Trooper creatures you control have deathtouch.
Debilitating Neurotoxins	STW	DebilitatingNeurotoxins.png	Sorcery	B		XBB	2			R	DebilitatingNeurotoxins	All non-artifact creatures get -X/-X until end of turn.
Deploy The Troops	STW	DeployTheTroops.png	Instant	W		4W	5			U	DeployTheTroops	Put three 1/1 white Trooper creature tokens onto the battlefield.
Dewback Rider	STW	DewbackRider.png	Creature	G	Lizard, Trooper	4G	5	4	5	U	DewbackRider	5W: Monstrosity 2.  When Dewback Rider becomes monstrous, put two 1/1 white Trooper creature tokens onto the battlefield.
Doom Blade	STW	DoomBlade.png	Instant	B		1B	2			U	DoomBlade	Destroy target nonblack creature.
Double-Bladed Lightsaber	STW	Double-BladedLightsaber.png	Artifact	C	Equipment	3	3			U	Double-BladedLightsaber	Equipped creature gets +1/+0 and has double strike.  Equip 4,  Double-Bladed Lightsaber's equip ability costs 1 if it targets a Jedi or Sith.
Droid Factory	STW	DroidFactory.png	Land	C						C	DroidFactory	T: Add C to your mana pool.  T, Sacrafice Droid Factory: Search your library for a basic Plains, Island, or Swamp card and put it onto the battlefield tapped.  Then shuffle your library.
Droid Foundry	STW	DroidFoundry.png	Land	C						U	DroidFoundry	Droid Foundry enters the battlefield tapped.  When Droid Foundry enters the battlefield, add U to your mana pool.  T: Add W or B to your mana pool.
Droideka	STW	Droideka.png	Artifact, Creature	W	Droid	4W	5	3	6	U	Droideka	2U: Change a target of target spell or ability to Droideka.  Repair 3
Emblem (Wicket)	STW	Emblem(Wicket).png	TOKEN	C	Wicket					T	Emblem(Wicket)	Creatures you control have trample and get +X/+X, where X is the number of creatures you control.
Emblem (Jabba)	STW	Emblem(Jabba).png	TOKEN	C	Jabba					T	Emblem(Jabba)	At the beginning of your upkeep, you may destroy target creature with a bounty counter on it.
Emblem (Sidious) 2	STW	Emblem(Sidious)2.png	TOKEN	C	Sidious					T	Emblem(Sidious)2	At the beginning of your upkeep, deal 1 damage to target creature or player.
Emblem (Sidious) 3	STW	Emblem(Sidious)3.png	TOKEN	C	Sidious					T	Emblem(Sidious)3	Whenever you cast a spell, lose life equal to its converted mana cost.
Emblem (Sidious)	STW	Emblem(Sidious).png	TOKEN	C	Sidious					T	Emblem(Sidious)	At the beginning of your upkeep, you may draw a card.  If you do, discard a card.
Emblem (Yoda)	STW	Emblem(Yoda).png	TOKEN	C	Yoda					T	Emblem(Yoda)	At the beginning or your upkeep, exile target permanent.  Gain life equal to its converted mana cost, you do.
